树莓派Python编程入门与实战  Raspberry Pi和Python语言相结合的指南 , 64.70
营销数据科学：用R和Python进行预测分析的建模技术  基于美国西北大学数据科学系列课程，系统展现在营销领域如何应用大数据手段解决典型问题 , 67.20
【预订】Hello! Python  美国库房发货，通常付款后5-8周到货！ , 282.00
【预订】Python Text Processing with Nltk 2.0 Cookbook  美国库房发货，通常付款后5-8周到货！ , 467.00
【预订】Complete Monty Python's Flying Circus  美国库房发货，通常付款后5-8周到货！ , 173.00
Python Cookbook [ISBN: 978-1449340377]  美国发货无法退货，约五到八周到货 , 446.00
【预订】Fundamentals of Python: Data Structures  美国库房发货，通常付款后5-8周到货！ , 308.00
基于ArcGIS的Python编程秘笈（第2版）  80多个编程技巧，教你如何更好地完成地理信息处理。 , 58.70
Python程序设计与实现   , 35.00
Python程序设计基础   , 29.80
Getting Started with BeagleBone: Linux-Powered Electronic Projects With Python and JavaScript  美国发货无法退货，约五到八周到货 , 127.00
【预订】Matplotlib for Python Developers  美国库房发货，通常付款后5-8周到货！ , 519.00
【预订】Dive Into Python 3  美国库房发货，通常付款后3-5周到货！ , 330.00
【预订】Maya Python for Games and Film: A Complete Reference  美国库房发货，通常付款后3-5周到货！ , 888.00
【预订】Core Python Applications Programming  美国库房发货，通常付款后5-8周到货！ , 428.00
【预订】高效率Y料分析：使用Python 9789864762613  台吃版，通常付款后1-2月到货！ , 183.00
【预订】Python 3 Web Development Beginner's Guide  美国库房发货，通常付款后5-8周到货！ , 519.00
Python Scripting for ArcGIS  美国发货无法退货，约五到八周到货 , 628.00
【预订】Python Programming with Oracle Database  美国库房发货，通常付款后5-8周到货！ , 296.00
【预订】Python and Aws Cookbook  美国库房发货，通常付款后5-8周到货！ , 265.00
【预订】Expert Python Programming  美国库房发货，通常付款后3-5周到货！ , 519.00
【预订】Python for Finance  美国库房发货，通常付款后5-8周到货！ , 581.00
【预订】Programming in Python 3: A Complete Introduction to the Python Language  美国库房发货，通常付款后5-8周到货！ , 388.00
【预订】Natural Language Processing with Python  美国库房发货，通常付款后5-8周到货！ , 425.00
【预订】Python Programming on WIN32  美国库房发货，通常付款后5-8周到货！ , 551.00
【预订】Python & XML  美国库房发货，通常付款后5-8周到货！ , 299.00
Learn Python the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (3rd Edition) (Zed Shaw's Hard Way Series) [ISBN: 978-0321884916]  美国发货无法退货，约五到八周到货 , 386.00
Programming ArcGIS 10.1 with Python Cookbook [ISBN: 978-1849694445]  美国发货无法退货，约五到八周到货 , 405.00
【预订】Monty Python's Flying Circus & Fawlty Towers: BBC  美国库房发货，通常付款后5-8周到货！ , 115.00
【预订】Cherrypy Essentials: Rapid Python Web Application  美国库房发货，通常付款后3-5周到货！ , 467.00
【预订】Python Testing: Beginner's Guide  美国库房发货，通常付款后3-5周到货！ , 467.00
【预订】Python Package Index  美国库房发货，通常付款后5-8周到货！ , 576.00
【预订】Python for Software Design: How to Think Like a  美国库房发货，通常付款后5-8周到货！ , 453.00
【预订】Monty Python Live!  美国库房发货，通常付款后5-8周到货！ , 205.00
Python 3 Web Development Beginner's Guide [ISBN: 978-1849513746]  美国发货无法退货，约五到八周到货 , 434.00
Making Games with Python & Pygame [ISBN: 978-1469901732]  美国发货无法退货，约五到八周到货 , 241.00
【预订】Bioinformatics Programming Using Python  美国库房发货，通常付款后5-8周到货！ , 551.00
Program Arcade Games: With Python and Pygame [ISBN: 978-1484052259]  美国发货无法退货，约五到八周到货 , 270.00
